FundID,ShortName,
ed29f5ef-4ec5-ea11-9b96-000d3a541639,Tekne,
d6d1e37a-6fe1-ea11-9ba8-000d3a541639,Marcho,
d00a3afa-72e1-ea11-9ba8-000d3a541639,GPES 2122 Cash,
74bf3a1f-73e1-ea11-9ba8-000d3a541639,GPES2122,
6a28e301-74e1-ea11-9ba8-000d3a541639,GRAS2122,
c6a14480-75e1-ea11-9ba8-000d3a541639,GRAS 2122 Cash,
dc7f6a49-49e6-ea11-9ba8-000d3a541639,AH VII,
340ef122-0d13-eb11-9bab-000d3a541639,Periscope Equity II,
47095e2d-0e13-eb11-9bab-000d3a541639,Future Cap Discovery Fund IV,
9dce7ced-0e13-eb11-9bab-000d3a541639,Initialized V,
4cc8b41e-bc13-eb11-9bab-000d3a541639,Caffeinated Capital Scout III,
bed924b3-ca13-eb11-9bab-000d3a541639,Erebor,
81447fbf-f113-eb11-9bab-000d3a541639,YCC20,
e458b201-f613-eb11-9bab-000d3a541639,Silver Teal,
c5c34693-8114-eb11-9bab-000d3a541639,Renovo III,
47fa7689-7818-eb11-9bae-000d3a541639,FCGF,
3afb01d3-3640-e011-81e9-0019b9e7ee05,Tiger PIP VI,
5196f166-5240-e011-81e9-0019b9e7ee05,CaptodayII,
aaea7985-5340-e011-81e9-0019b9e7ee05,LSI II,
2a955b97-5340-e011-81e9-0019b9e7ee05,LaSalle YRC Trucking,
e7143475-4ce6-e111-86fe-0019b9e7ee05,fti,
5dcbbbdc-53e6-e111-86fe-0019b9e7ee05,fmc,
b8402b64-2fed-e111-86fe-0019b9e7ee05,DJ UBS Commodity Idx,
53bee12c-e07b-e411-8947-0019b9e7ee05,Broadfin,
69730d1a-4186-e411-8947-0019b9e7ee05,RockbridgeVI,
6e542b18-499c-e411-8947-0019b9e7ee05,EMR,
ba937fdf-69c1-e211-8a81-0019b9e7ee05,greymount,
dbbfcdb0-340c-e411-8e00-0019b9e7ee05,TEST,
4b51244b-260d-e411-8e00-0019b9e7ee05,MornTopup,
774c6750-f49d-e111-91c9-0019b9e7ee05,HonyV,
cc14fbb5-7e93-e011-95a1-0019b9e7ee05,GPES1112,
5fc5ab73-8193-e011-95a1-0019b9e7ee05,GRAS1112,
f1e91d96-f465-e411-99ba-0019b9e7ee05,Fourth Sail,
0ac5892c-e3fc-e111-9a89-0019b9e7ee05,GPES2013,
3a0b17f7-e4fc-e111-9a89-0019b9e7ee05,GRAS2013,
659aa417-6418-e211-9e6f-0019b9e7ee05,GEM Realty Fund V,
45e86591-29d1-e111-a4d8-0019b9e7ee05,OCM Asia,
c649429f-29d1-e111-a4d8-0019b9e7ee05,OCM High Yield,
488337ad-29d1-e111-a4d8-0019b9e7ee05,OCM Mezz,
ed1e27b9-29d1-e111-a4d8-0019b9e7ee05,OCM Opp II,
d9d576c1-29d1-e111-a4d8-0019b9e7ee05,OCM Opp III,
63d89ecb-29d1-e111-a4d8-0019b9e7ee05,OCM Opp IV,
787076f8-d7d1-e111-a4d8-0019b9e7ee05,Pearlmark,
e1571e75-e2d1-e111-a4d8-0019b9e7ee05,THL Credit Loan Opp Fund,
b9a168d9-e4d1-e111-a4d8-0019b9e7ee05,THL Credit Loan Opp Fd - CL D,
eacd8201-e5d1-e111-a4d8-0019b9e7ee05,Redbrick II,
6767501c-e5d1-e111-a4d8-0019b9e7ee05,Redbrick III,
88f4a97a-20dc-e111-a4d8-0019b9e7ee05,GSAM SPH,
27573470-b5dc-e111-a4d8-0019b9e7ee05,Gotham Series,
38a78873-05e0-e111-a4d8-0019b9e7ee05,Carlls Corner,
ba735889-05e0-e111-a4d8-0019b9e7ee05,Samsondale,
30026b9f-05e0-e111-a4d8-0019b9e7ee05,Paragon,
11ae2db1-05e0-e111-a4d8-0019b9e7ee05,ShopCity,
89f2a4c1-05e0-e111-a4d8-0019b9e7ee05,Southampton,
6f87b1d3-05e0-e111-a4d8-0019b9e7ee05,Timpany,
e23d41e6-05e0-e111-a4d8-0019b9e7ee05,Wesport IV,
d06748e1-4501-e011-a612-0019b9e7ee05,GCDS,
9516756b-ac33-e411-a6db-0019b9e7ee05,GPES2015,
cad8e27c-ad33-e411-a6db-0019b9e7ee05,GRAS2015,
08b1420f-ae45-e411-a6db-0019b9e7ee05,HastingsIII,
2ffcdab9-a07a-e111-a7df-0019b9e7ee05,RRJ Fund,
8fb453be-a47a-e111-a7df-0019b9e7ee05,CDH Fund IV,
95729f1e-fb6e-e211-aa29-0019b9e7ee05,huron,
5dbc8d97-83b9-e111-ad83-0019b9e7ee05,Aslan II,
1a43654f-84b9-e111-ad83-0019b9e7ee05,Aslan III,
f4099195-afcb-e111-ad83-0019b9e7ee05,Garnet,
4c42e4e1-01cd-e111-ad83-0019b9e7ee05,HKW Cap Partners A,
bcd82370-02cd-e111-ad83-0019b9e7ee05,HKW Supplemental,
